Artist_Album,Label,Country,Format,Notes,Genre,Release_Date,Style,Rate_Haves_Wants,Media_Condition,Sleeve_Condition,Seller_Rating,Recorded_at,Pressed_by,Price
Pepper Adams – Motor City Scene,"Bethlehem Records – BCP 6056, Bethlehem Records – 6056",US,"Vinyl, LP, Album",nan,Jazz,1961,Hard Bop,"Rated 4.00 of 3 votes (22 have, 229 want)",Very Good (VG),Sleeve: Very Good (VG),100.0%,nan,nan,$600.00
Lee Morgan – Search For The New Land,Blue Note – BLP 4169,US,"Vinyl, LP, Album, Mono","Blue Note Records Inc. - New York USA address blue and white labels.

With ear or p symbol. VAN GELDER stamped in dead wax.

""27 Years Blue Note"" inner sleeve.

Recorded on February 15, 1964.",Jazz,1966,Hard Bop,"Rated 4.54 of 59 votes (361 have, 752 want)",Very Good Plus (VG+),Sleeve: Very Good (VG),100.0%,"Van Gelder Studio, Englewood Cliffs, New Jersey",Plastylite,"$2,000.00"
Dexter Gordon – Go!,Blue Note – BLP 4112,US,"Vinyl, LP, Album, Mono","Recorded on August 27, 1962.",Jazz,1962,Hard Bop,"Rated 4.67 of 52 votes (310 have, 741 want)",Very Good (VG),Sleeve: Very Good Plus (VG+),100.0%,"Van Gelder Studio, Englewood Cliffs, New Jersey",Plastylite,$850.76
Hank Mobley With Donald Byrd And Lee Morgan – Hank Mobley With Donald Byrd And Lee Morgan,Blue Note – BLP 1540,US,"Vinyl, LP, Album, Mono","Recorded on November 25, 1956.",Jazz,1957,Hard Bop,"Rated 4.57 of 14 votes (65 have, 524 want)",Very Good (VG),Sleeve: Very Good (VG),100.0%,"Van Gelder Studio, Hackensack, New Jersey",nan,"$1,850.00"
Art Blakey – Orgy In Rhythm (Volume One),"Blue Note – 1554, Blue Note – BLP 1554",US,"Vinyl, LP, Mono","Recorded live on March 7, 1957.
The record features:
- RVG etched (not stamped) + ear
- First press has 47 w63rd st. New York 23 Labels on both sides
- Both sides deep groove
- Flat edge.
- Laminated front cover.
- Sleeve has blank spine.
- Address in back cover should be printed with Serif font as it is considered the first printing. (Fred Cohen's ""A Guide for Identifying original pressings"" p105)","Jazz, Latin",May 1957,"Afro-Cuban Jazz, Hard Bop","Rated 4.10 of 31 votes (254 have, 342 want)",Very Good Plus (VG+),Sleeve: Very Good (VG),99.7%,nan,Plastylite,$650.00
Sam Rivers – Fuchsia Swing Song,Blue Note – BST 84184,US,"Vinyl, LP, Album, Stereo",1965 US original stereo BST 84184,Jazz,1965,"Post Bop, Hard Bop","Rated 4.58 of 19 votes (110 have, 322 want)",Near Mint (NM or M-),Sleeve: Near Mint (NM or M-),100.0%,nan,nan,$999.00
John Coltrane – A Love Supreme,Impulse! – A-77,US,"Vinyl, LP, Album, Mono, Gatefold","Recorded December 9th, 1964.

This is the variant with side indications on the labels. There is another variant
without side indications on the labels

""A Product of ABC-Paramount Records Inc."" printed at bottom of labels

The thick cardstock gatefold sleeve has a heavily laminated glossy finish but the inside
of the gatefold does not.",Jazz,1965,"Free Jazz, Hard Bop, Modal","Rated 4.68 of 205 votes (1398 have, 3685 want)",Very Good (VG),Sleeve: Very Good Plus (VG+),100.0%,nan,nan,"$1,500.00"
Curtis Fuller – The Opener,Blue Note – BLP 1567,US,"Vinyl, LP, Album, Mono","Recorded on June 16, 1957.",Jazz,1957,Hard Bop,"Rated 4.50 of 16 votes (68 have, 385 want)",Very Good (VG),Sleeve: Very Good Plus (VG+),97.1%,"Van Gelder Studio, Hackensack, New Jersey",nan,"$1,400.00"
Hank Mobley - Lee Morgan – Peckin' Time,Blue Note – BLP 1574,US,"Vinyl, LP, Album, Mono","Recorded on February 9, 1958.

1st original issue has:
- blue/white deep grooved Blue Note Records - 47 West 63rd - NYC address (no ® and no Inc),
- RVG stamped and ""P"" (wrongly called ""ear"") for Plastylite plant etched in the dead wax, both sides,
- laminated cover with 47 West 63rd St., New York 23 address on back (no Inc.).",Jazz,Nov 1959,Hard Bop,"Rated 4.50 of 18 votes (68 have, 482 want)",Very Good Plus (VG+),Sleeve: Very Good (VG),100.0%,"Van Gelder Studio, Hackensack, New Jersey",Plastylite,"$1,499.99"
Sonny Rollins – Volume 2,Blue Note – BLP 1558,US,"Vinyl, LP, Album, Reissue, Mono","Jay Jay Johnson performs by courtesy of Columbia Recordss. Thelonious Monk performs by courtesy of Riverside Records.

Recorded on April 14, 1957.

This is a re-issued copy.

01. '47 West 63rd' address on both labels
02. 'RVG' machine stamped
03. 'New York 23' address on back cover, no 'Inc'
04. Beaded rim, not flat
05. Deep groove on both sides
06. Blank spine
07. 'P' a.k.a. Plastylite 'ear' in trail off + '9M' side A only
08. No 'INC' after 'BLUE NOTE RECORDS', no ® on bottom of label.

The Original Pressing of this album is not on Discogs. The original had the “West 63rd NY 23” labels. The original pressing photos are if a second pressing not unlike this but are non the less incorrect. Any pressing of this with a simple (47 West 63rd) is a later pressing. This is a variant that I documented simply because the runout is different. Documenting all of the details will lead to Discogs being a more “complete” catalogue. Although minute a (9M) missing seems to be occasion for documentation.",Jazz,1958,Hard Bop,"Rated 5.00 of 7 votes (29 have, 69 want)",Very Good Plus (VG+),Sleeve: Very Good Plus (VG+),100.0%,"Van Gelder Studio, Hackensack, New Jersey",Plastylite,$775.00
Donald Byrd – Byrd Jazz,Transition – TRLP 5,US,"Vinyl, LP, Album","Recorded on August 23, 1955
Recorded at New World Stage Theatre, Detroit, Michigan",Jazz,1956,Hard Bop,"Rated 4.45 of 11 votes (28 have, 478 want)",Near Mint (NM or M-),Sleeve: No Cover,99.2%,New World Stage,nan,"$1,444.99"
Jørgen Leth Quintet / Igor Čaplinski – Jazz Jamboree 1962 Vol.4,Polskie Nagrania Muza – L 0397,Poland,"Vinyl, LP, 10"", Mono, Export version","Ars-Polona export version with laminated sleeve by Rosław Szaybo.

Made in Poland.

Tracktimes do not appear on the release.",Jazz,1962,Hard Bop,"Rated 5.00 of 3 votes (25 have, 63 want)",Near Mint (NM or M-),Sleeve: Near Mint (NM or M-),100.0%,Warsaw Philharmonic Hall,nan,$630.00
Hideo Shiraki – In Fiesta,Teichiku Records – NL-3008,Japan,"Vinyl, LP, Album, Mono","Tracks A1, A2, A3, B3 recorded 1961-6-23
Track B4 recorded 1961-6-29
Tracks B1, B2 recorded 1961-7-4",Jazz,1961,Hard Bop,"Rated 4.67 of 3 votes (5 have, 172 want)",Good (G),Sleeve: Good (G),100.0%,nan,nan,"$1,000.00"
Freddie Hubbard – Goin' Up,Blue Note – BLP 4056,US,"Vinyl, LP, Album, Mono","Recorded on November 6, 1960.

Paul Chambers performs by courtesy of Vee-Jay Records, Philly Joe Jones performs by courtesy of Atlantic Recording Corp.

This 1st mono pressing:

- Deep groove on both sides.
- 47 west 63rd address on both labels.
- Labels have INC. and ®.
- Plastylite ""ear"" mark on run out on both sides, RVG stamped.
- Laminated cover.
- Address on back cover is: Blue Note Records Inc., 43 West 61st St., New York 23.",Jazz,1961,Hard Bop,"Rated 4.56 of 18 votes (104 have, 356 want)",Very Good (VG),Sleeve: Very Good (VG),100.0%,"Van Gelder Studio, Englewood Cliffs, New Jersey",Plastylite,$643.81
Cannonball Adderley – Somethin' Else,Blue Note – BLP 1595,US,"Vinyl, LP, Album, Repress, Mono","Mono label variation, release circa 1959-1962.

Labels:
- Blue Note Records Inc • 47 West 63rd • NYC
- Includes ® under Blue Note

Runouts:
- Etched '9M', side B only
- Plastylite 'P', both sides
- Stamped RVG, both sides

Rear cover:
- Blue Note Records Inc., 43 West 61st St. New York 23

Front cover, jacket spine and labels credit Cannonball Adderley, rear cover credits Julian ""Cannonball"" Adderley at top and ""Cannonball"" Adderley in credits, labels credit Julian ""Cannonball"" Adderley.

Includes printed paper 'Blue Note The Finest In Jazz Since 1939' promotional inner sleeve.

Miles Davis performs by courtesy of Columbia Records,
Hank Jones performs by courtesy of Capitol Records

Recorded on March 9, 1958",Jazz,1959,"Bop, Hard Bop","Rated 4.92 of 12 votes (99 have, 389 want)",Very Good Plus (VG+),Sleeve: Very Good Plus (VG+),100.0%,"Van Gelder Studio, Hackensack, New Jersey",Plastylite,$750.00
John Coltrane With The Red Garland Trio – Traneing In,"Prestige – 7123, Prestige – PRLP 7123",US,"Vinyl, LP, Album, Repress, Mono, Yellow/Black Label","1961 repackage of John Coltrane With The Red Garland Trio - John Coltrane With The Red Garland Trio. Disc has deep groove, yellow/black fireworks labels, Bergenfield address, no ""Traneing In"" title. Cover design is new, featuring a photo of Coltrane's face. Cover is laminated.",Jazz,1961,Hard Bop,"Rated 4.67 of 21 votes (207 have, 203 want)",Very Good Plus (VG+),Sleeve: Very Good Plus (VG+),100.0%,nan,nan,$500.00
Jackie McLean – Jackie's Bag,Blue Note – BLP 4051,US,"Vinyl, LP, Album, Mono","Blue Mitchell performs courtesy of Riverside Records, Paul Chambers courtesy of Vee-Jay Records.

- blue/white labels with ""Blue Note Records .A Division Of Liberty Records, INC.
- ® sign on label, both sides
- RVG stamped in the dead wax, both sides
- Blue Note Records Inc., 43 West 61st Street, New York 23, N.Y. address on back cover",Jazz,1967,Hard Bop,"Rated 5.00 of 1 votes (5 have, 80 want)",Very Good Plus (VG+),Sleeve: Very Good Plus (VG+),100.0%,"Van Gelder Studio, Hackensack, New Jersey",nan,$499.00
"Tommy Flanagan, John Coltrane, Kenny Burrell, Idrees Sulieman – The Cats",New Jazz – NJLP 8217,US,"Vinyl, LP, Album, Mono","Recorded in Hackensack, NJ; April 18, 1957.

Purple NEW JAZZ label, coated cover.",Jazz,1959,Hard Bop,"Rated 4.43 of 21 votes (121 have, 487 want)",Very Good (VG),Sleeve: Very Good (VG),99.0%,"Van Gelder Studio, Hackensack, New Jersey",nan,$420.00
Sonny Rollins – Way Out West,Stereo Records (4) – S7017,US,"Vinyl, LP, Album, Stereo","Recorded at Contemporary's studio in Los Angeles March 7, 1957. Liner notes dated June 6, 1957.

First stereo pressing",Jazz,1958,Hard Bop,"Rated 4.75 of 16 votes (80 have, 240 want)",Near Mint (NM or M-),Sleeve: Very Good Plus (VG+),100.0%,nan,"RCA Records Pressing Plant, Hollywood",$419.99
John Coltrane – Blue Train,"Blue Note – BST 1577, Blue Note – 1577",US,"Vinyl, LP, Album, Stereo","1st stereo press.

This version has the ""47 West 63rd ∙ NYC"" address on the labels, deep groove on both sides.

LABELS:
- Blue/white labels
- Publisher ""Groove Music"" appears for tracks A1 to B1 and B3
- ""Blue Note Records Inc""

SLEEVE:
- Laminated on front
- May have a gold stereo sticker on front
- No text on spine
- Address on back is ""Blue Note Records Inc., 43 West 63rd St., New York 23""
- ""High Fidelity""
- ""John Coltrane performs by courtesy of Prestige Records, Kenny Drew by courtesy of Riverside Records.""

CATALOG NUMBERS:
- BST 1577 on labels
- 1577 on sleeve",Jazz,Jun 1960,Hard Bop,"Rated 4.87 of 15 votes (106 have, 706 want)",Very Good Plus (VG+),Sleeve: Very Good Plus (VG+),100.0%,nan,Plastylite,$499.99
Dexter Gordon – Dexter Calling . . .,Blue Note – BLP 4083,US,"Vinyl, Album, LP, Mono","Paul Chamber performs by courtesy of Vee-Jay Records.

Recorded on May 9, 1961.

VAN GELDER & Plastylite “P” (ear) on both sides in dead wax.",Jazz,Dec 1961,Hard Bop,"Rated 4.59 of 27 votes (156 have, 329 want)",Very Good Plus (VG+),Sleeve: Very Good Plus (VG+),99.9%,"Van Gelder Studio, Englewood Cliffs, New Jersey",Plastylite,$528.49
Lee Morgan – Search For The New Land,Blue Note – BLP 4169,US,"Vinyl, LP, Album, Mono","Blue Note Records Inc. - New York USA address blue and white labels.

With ear or p symbol. VAN GELDER stamped in dead wax.

""27 Years Blue Note"" inner sleeve.

Recorded on February 15, 1964.",Jazz,1966,Hard Bop,"Rated 4.54 of 59 votes (361 have, 752 want)",Good (G),Sleeve: Very Good Plus (VG+),99.4%,"Van Gelder Studio, Englewood Cliffs, New Jersey",Plastylite,$400.00
"Benny Carter Featuring The Voices Of Sammy Davis, Jr.*, Louis Armstrong And Mel Tormé – A Man Called Adam",Reprise Records – R-6180,US,"Vinyl, LP, Album, Mono, Promo","Promo sticker on front
""Promotion Not For Sale"" on white label","Jazz, Blues",1966,"Hard Bop, Easy Listening, Dixieland, Swing, Cool Jazz","Rated 4.00 of 2 votes (14 have, 12 want)",Near Mint (NM or M-),Sleeve: Very Good Plus (VG+),100.0%,nan,nan,$559.00
Miles Davis – Blue Moods,Debut Records – DEB-120,US,"Vinyl, LP, Album","Recorded July 9, 1955",Jazz,1955,Hard Bop,"Rated 4.24 of 25 votes (147 have, 574 want)",Very Good Plus (VG+),Sleeve: Good Plus (G+),99.0%,nan,nan,$505.62
Wes Montgomery – The Incredible Jazz Guitar Of Wes Montgomery,Riverside Records – RLP 12-320,US,"Vinyl, LP, Album, Mono","1st press mono with small deep groove blue labels having no ""Inc"" at the end of ""Bill Grauer Productions"" at bottom.

Recorded in New York, January 26 & 28, 1960.",Jazz,1960,Hard Bop,"Rated 4.53 of 40 votes (261 have, 595 want)",Very Good Plus (VG+),Sleeve: Very Good Plus (VG+),100.0%,nan,nan,$500.00
Jackie McLean – A Long Drink Of The Blues,"Prestige – 8253, New Jazz – 8253, New Jazz – NJLP 8253",US,"Vinyl, LP, Album, Mono","Side A recorded in Hackensack, NJ; August 30, 1957.
Side B recorded in Hackensack, NJ; February 15, 1957.",Jazz,1961,Hard Bop,"Rated 4.40 of 15 votes (67 have, 174 want)",Near Mint (NM or M-),Sleeve: Very Good Plus (VG+),100.0%,"Van Gelder Studio, Hackensack, New Jersey",nan,$529.00
George Braith – Soul Stream,Blue Note – BLP 4161,US,"Vinyl, LP, Album, Mono","Recorded on December 16, 1963.",Jazz,1963,Hard Bop,"Rated 4.50 of 12 votes (57 have, 141 want)",Very Good Plus (VG+),Sleeve: Very Good Plus (VG+),99.9%,"Van Gelder Studio, Englewood Cliffs, New Jersey",nan,$418.59
Herbie Hancock – Inventions And Dimensions,Blue Note – BLP 4147,US,"Vinyl, LP, Album, Mono","Recorded on August 30, 1963.

Original first pressings can be determined by the following details [also see image section]:

1. 'Deep Groove' stamped in the label paper of side 1 only
2. Address on labels is New York USA
3. Address on back cover is 43 West 31st St., New York 23
4. Deadwax area has the Plastylite pressing plant ""ear"" (pretzel shaped, hand etched ""P"")
5. Deadwax area has the VAN GELDER stamp; the cat.nr. is hand etched
6. Front cover is not laminated

Versions that do not carry the Plastylite ""ear"" (aka the pretzel shaped, etched ""P"") are all reissues, released after Liberty Records bought the Blue Note label and are not first pressings. These and the above details courtesy of the ""Blue Note Records Guide For Identifying Original Pressings"", written by Frederick Cohen from Jazz Record Center, New York.

The nick name of percussionist Osvaldo ""Chihuahua"" Martinez is misspelled on the front cover and reads ""Chihuahau"". This typo survived many reissues, but was finally corrected on the 2006 CD reissue in the RVG Edition series; the front of the booklet there now correctly states ""Chihuahua"".",Jazz,1964,"Free Improvisation, Hard Bop, Modal","Rated 4.52 of 42 votes (169 have, 829 want)",Near Mint (NM or M-),Sleeve: Very Good (VG),99.8%,"Van Gelder Studio, Englewood Cliffs, New Jersey",Plastylite,$549.99
Dizzy Reece – Star Bright,Blue Note – BLP 4023,US,"Vinyl, LP, Album, Mono","Recorded on November 19, 1959.

Wynton Kelly and Paul Chambers performs by courtesy of Vee-Jay Records.
""RVG""-stamp in deadwax.",Jazz,1959,Hard Bop,"Rated 4.71 of 14 votes (92 have, 255 want)",Very Good (VG),Sleeve: Very Good (VG),100.0%,"Van Gelder Studio, Englewood Cliffs, New Jersey",nan,$500.00
Sonny Rollins – Newk's Time,Blue Note – BLP 4001,US,"Vinyl, LP, Album, Mono","Recorded September 22, 1957 (not mentioned on the release).

Both centre labels have a deep groove and ""331/3 Microgroove Long Playing"" and ""Blue Note Records - 47 West 63rd - NYC"" printed.

The 1st original MONO issue has:
- blue and white Blue Note Records 47 West 63rd - NYC address on deep grooved labels, with no ""Inc"" no ®
- RVG stamped, P for Plastylite plant and 9M etched in the dead wax, both sides,
- 47 West 63rd St., New York 23 address on back-cover, with no ""Inc.""
- front laminated cover",Jazz,Jan 1959,Hard Bop,"Rated 4.64 of 33 votes (243 have, 416 want)",Good Plus (G+),Sleeve: Good Plus (G+),100.0%,"Van Gelder Studio, Hackensack, New Jersey",Plastylite,$407.35
Donald Byrd – Fuego,"Blue Note – BLP 4026, Blue Note – 4026",US,"Vinyl, LP, Album, Mono","Recorded October 4, 1959.

Original mono pressing with 47 West 63rd • NYC labels, Plastylite P/""ear"", and RVG stamp in runouts.

Also released as stereo BST 84026.",Jazz,Jun 1960,Hard Bop,"Rated 4.70 of 40 votes (242 have, 397 want)",Very Good Plus (VG+),Sleeve: Very Good Plus (VG+),100.0%,"Van Gelder Studio, Englewood Cliffs, New Jersey",Plastylite,$449.00
Benny Golson – Gone With Golson,"Prestige – NJLP 8235, New Jazz – NJLP 8235",US,"Vinyl, LP, Album, Mono","Recorded in Hackensack, NJ; June 20, 1959.",Jazz,1960,Hard Bop,"Rated 4.70 of 10 votes (66 have, 165 want)",Very Good Plus (VG+),Sleeve: Near Mint (NM or M-),99.6%,"Van Gelder Studio, Hackensack, New Jersey",nan,$599.99
Yusef Lateef And His Jazz Quintet* – The Fabric Of Jazz,"Savoy Records – ST-13008, Savoy Records – SST-13008",US,"Vinyl, LP, Album, Stereo","Recorded on June 11, 1959.",Jazz,1959,"Hard Bop, Modal","Rated 5.00 of 3 votes (23 have, 117 want)",Very Good Plus (VG+),Sleeve: Very Good Plus (VG+),99.6%,"Van Gelder Studio, Hackensack, New Jersey",nan,$450.00
Dizzy Reece – Asia Minor,"New Jazz – NJ 8274, New Jazz – NJLP 8274",US,"Vinyl, LP, Album, Mono","Recorded in Englewood Cliffs, New Jersey; March 13, 1962

New Jazz Records, 230 So. Washington Ave., Bergenfield, N.J.",Jazz,1962,Hard Bop,"Rated 4.17 of 6 votes (44 have, 213 want)",Very Good Plus (VG+),Sleeve: Very Good (VG),98.3%,"Van Gelder Studio, Englewood Cliffs, New Jersey",nan,$400.00
Cannonball Adderley – Somethin' Else,Blue Note – BLP 1595,US,"Vinyl, LP, Album, Mono, Deep Groove","Miles Davis performs by courtesy of Columbia Records.
Hank Jones performs by courtesy of Capital Records.
Recorded on March 9, 1958.

This pressing (the second) has W63 street address with Inc. and ® on deep grooved labels.
P (wrongly usually called ""ear"") for Plastylite recording plant etched in the trail off, both sides.
RVG stamped in the run-out groove both sides, also.
See attached images for details.",Jazz,1960,"Bop, Hard Bop","Rated 4.79 of 19 votes (127 have, 370 want)",Very Good Plus (VG+),Sleeve: Very Good Plus (VG+),100.0%,"Van Gelder Studio, Hackensack, New Jersey",Plastylite,$475.24
"Thad Jones - Frank Wess - Teddy Charles - Mal Waldron - Doug Watkins - Elvin Jones, The Prestige All Stars – Olio","Prestige – 7084, Prestige – LP 7084, Prestige – PRLP 7084",US,"Vinyl, LP, Album, Mono","Recorded February, 16, 1957. Same group of musicians as the Prestige All Stars.
Printed in U.S.A.

Prestige Records Inc. N.Y.C., 446 West 50th Street, New York 19, N.Y.

1st cat# on front sleeve, 2nd cat# on rear; 3rd cat# on center labels",Jazz,1957,Hard Bop,"Rated 4.50 of 14 votes (58 have, 236 want)",Very Good Plus (VG+),Sleeve: Very Good Plus (VG+),99.9%,"Van Gelder Studio, Hackensack, New Jersey",nan,$587.99
The Dick Morrissey Quartet – Here And Now And Sounding Good!,Mercury – 20093 MCL,UK,"Vinyl, LP, Album, Mono","UK original issue black textured label w/ silver print.
Recorded 23rd & 25th September 1966.",Jazz,1967,"Hard Bop, Modal","Rated 3.83 of 6 votes (24 have, 130 want)",Very Good Plus (VG+),Sleeve: Very Good (VG),95.2%,nan,nan,$425.00
Woods* / Byrd* – The Young Bloods,Prestige – LP 7080,US,"Vinyl, LP, Album, Mono","Recorded November 2, 1956.

Deep groove pressing. RVG in runout.
Prestige Records Inc. 446W. 50th ST., N.Y.C.",Jazz,1956,Hard Bop,"Rated 4.60 of 10 votes (50 have, 177 want)",Very Good Plus (VG+),Sleeve: Very Good (VG),100.0%,"Van Gelder Studio, Hackensack, New Jersey","Abbey Record Manufacturing Co., Inc.",$500.00
The Jazz Messengers* – At The Cafe Bohemia Volume 2,Blue Note – BLP 1508,US,"Vinyl, LP, Album, Mono","Recorded live on November 23, 1955.

1st original mono issue has:
- deep grooved blue/white Blue Note Records labels with 767 Lexington Ave N.Y.C. addess
- flat edge vinyl with RVG etched and ""P"" (otherwise wrongly called ""ear"") for Plastylite etched in the trail off, both sides
- 767 Lexington Ave., New York 21 address on back cover
- blank spine on cover
- Framed cover.",Jazz,May 1956,Hard Bop,"Rated 4.62 of 29 votes (206 have, 411 want)",Very Good Plus (VG+),Sleeve: Very Good Plus (VG+),100.0%,Café Bohemia,Plastylite,$500.00
Thelonious Monk – Brilliant Corners,Riverside Records – RLP 12-226,US,"Vinyl, LP, Album, Mono, Deep Groove","Recorded at Reeves Sound Studios, New York City; October 9 (A2, B1), October 15 (A1) and December 7 (B2, B3), 1956.

White labels with 'mic & reels' logo.",Jazz,1957,Hard Bop,"Rated 4.38 of 56 votes (384 have, 1063 want)",Very Good Plus (VG+),Sleeve: Very Good Plus (VG+),100.0%,Reeves Sound Studios,nan,$550.00
Cannonball Adderley – Somethin' Else,"Blue Note – BLP 1595, Blue Note – 1595",US,"Vinyl, LP, Album, Mono","This pressing has:
- W 63 street address and no ® and microgroove on the labels
- Deep groove on both sides.
- no Inc. in address on back cover.
-""P"", for Plastylite Recording plant etched.
- RVG stamped in the trail off, both sides.
- Address in back cover should be printed with Serif font as it is considered the first printing. (Fred Cohen's ""A guide for Identifying Original Pressings"" p105)

Miles Davis performs by courtesy of Columbia Records.
Hank Jones performs by courtesy of Capitol Records.
Recorded on March 9, 1958.",Jazz,May 1958,"Bop, Hard Bop","Rated 4.70 of 194 votes (1087 have, 1718 want)",Very Good (VG),Sleeve: Fair (F),98.9%,nan,Plastylite,$500.00
Michael Naura Quintet* – European Jazz Sounds,Brunswick – 87 912,Germany,"Vinyl, LP, Album, Mono",This is the MONO release.,Jazz,1963,"Hard Bop, Modal","Rated 4.70 of 10 votes (26 have, 188 want)",Near Mint (NM or M-),Sleeve: Very Good (VG),100.0%,nan,Deutsche Grammophon Gesellschaft Pressing Plant,$450.00
Art Blakey & The Jazz Messengers – A Night In Tunisia,Blue Note – BST 84049,US,"Vinyl, LP, Album, Stereo","Lee Morgan and Wayne Shorter performs by courtesy of Vee-Jay Records.
Bobby Timmons performs by courtesy of Riverside Records.

Recorded on August 7 & 14, 1960.

Stereo version of the first pressing, with:
- Front laminated jacket
- Deep groove label
- Blue Note Records Inc. - 47 West 63rd - NYC address, the (R) for the registration mark below the E in NOTE on the deep grooved labels.
- RVG Stereo stamped and ""ear"" or ""P"" symbol for Plastylite into the dead wax.
- 43 West 61st St. address with New York 23 on back cover",Jazz,Mar 1961,Hard Bop,"Rated 4.62 of 21 votes (134 have, 336 want)",Near Mint (NM or M-),Sleeve: Near Mint (NM or M-),100.0%,"Van Gelder Studio, Englewood Cliffs, New Jersey",Plastylite,$500.00
The Miles Davis Quintet – Workin' With The Miles Davis Quintet,Prestige – PRLP 7166,US,"Vinyl, LP, Album, Mono, Deep groove","Yellow & black fireworks labels with ""203 South Washington Ave. Bergenfield, N.J."" address printed at top and ""Long playing microgroove"" at bottom. ""RVG"" stamped into deadwax.

Recorded at Rudy Van Gelder Studio, Hackensack, New Jersey

Variant 2 runout does not have AB on side A",Jazz,Jan 1960,"Hard Bop, Bop","Rated 4.62 of 101 votes (813 have, 1036 want)",Near Mint (NM or M-),Sleeve: Very Good Plus (VG+),100.0%,"Van Gelder Studio, Hackensack, New Jersey","Abbey Record Manufacturing Co., Inc.",$450.00
Miles Davis All Stars – Walkin',"Prestige – 7076, Prestige – PRLP 7076",US,"Vinyl, LP, Album, Repress, Mono, Misprint","Cover variation

This GEM cover variation does NOT have ""PRESTIGE RECORDS, INC., 447 West 50th Street, New York 19, N.Y."" address along bottom of the back cover. Otherwise, it is identical to Miles Davis All Stars - Walkin'

Yellow deep groove Prestige fireworks label with ""203 South Washington Ave. Bergenfield, N.J."" address on the labels, second pressing. Small secondary pressing ring around side B spindle hole attributed to Abbey Record Manufacturing.",Jazz,1959,Hard Bop,"No Rating Yet (14 have, 17 want)",Very Good Plus (VG+),Sleeve: Very Good Plus (VG+),100.0%,nan,"Abbey Record Manufacturing Co., Inc.",$400.00
Dexter Gordon – Dexter Calling . . .,Blue Note – BLP 4083,US,"Vinyl, Album, LP, Mono","Paul Chamber performs by courtesy of Vee-Jay Records.

Recorded on May 9, 1961.

VAN GELDER & Plastylite “P” (ear) on both sides in dead wax.",Jazz,Dec 1961,Hard Bop,"Rated 4.59 of 27 votes (156 have, 329 want)",Very Good Plus (VG+),Sleeve: Very Good Plus (VG+),99.9%,"Van Gelder Studio, Englewood Cliffs, New Jersey",Plastylite,$400.00
Wayne Shorter – Juju,Blue Note – BLP 4182,US,"Vinyl, LP, Album, Mono","Variant version of first US mono edition. Has no deep groove but does have Plastylite ""P"" and ""Van Gelder"" stamped in the dead wax.

McCoy Tyner and Elvin Jones performs by courtesy of Impulse Records.

Recorded on August 3, 1964.

Label reads New York USA
Back cover reads 43 West 61st St, New York 23

Plastylite ""P"" and ""Van Gelder"" stamped in the run out.",Jazz,1964,Hard Bop,"Rated 4.68 of 31 votes (137 have, 707 want)",Very Good (VG),Sleeve: Very Good (VG),99.9%,"Van Gelder Studio, Englewood Cliffs, New Jersey",Plastylite,$500.00
Horace Parlan Quintet – On The Spur Of The Moment,Blue Note – BLP 4074,US,"Vinyl, LP, Album, Mono","This is the 1st pressing with 47 West 63rd labels, deep groove both sides, RVG, ear. Laminated cover.

Recorded on March 18, 1961.",Jazz,1961,Hard Bop,"Rated 4.50 of 8 votes (76 have, 195 want)",Very Good Plus (VG+),Sleeve: Very Good Plus (VG+),100.0%,"Van Gelder Studio, Englewood Cliffs, New Jersey",nan,$500.00
Jackie McLean – Destination... Out!,Blue Note – BLP 4165,US,"Vinyl, LP, Album, Mono","1st original Mono issue has:
- blue/white Blue Note Records Inc • New York USA labels (deep groove on side 2 only),
- Van Gelder stamped in the dead wax, both sides,
- ""P"" (otherwise wrongly called ""ear"") for Plastylite plant etched in the trail off, both sides,
- non laminated jacket,
- Blue Note Records Inc., 43 West 61st St., New York 23 address on back cover
- inner sleeve 25 Years Blue Note catalog with 43 West 61st St., New York 23 address",Jazz,Oct 1964,"Hard Bop, Post Bop","Rated 4.53 of 43 votes (176 have, 494 want)",Very Good Plus (VG+),Sleeve: Very Good Plus (VG+),99.9%,"Van Gelder Studio, Englewood Cliffs, New Jersey",nan,$500.00
"Art Blakey Quintet – A Night At Birdland, Volume 1",Blue Note – BLP 1521,US,"Vinyl, LP, Compilation, Mono","Recorded live on February 21, 1954.

1st original mono issue has:
- deep grooved blue/white Blue Note Records labels with 767 Lexington Ave N.Y.C. addess
- flat edge vinyl with RVG etched and ""P"" (otherwise wrongly called ""ear"") for Plastylite etched in the trail off, both sides
- no address on back cover
- blank spine on cover",Jazz,Jul 1956,Hard Bop,"Rated 4.60 of 20 votes (149 have, 365 want)",Very Good Plus (VG+),Sleeve: Very Good Plus (VG+),98.5%,Birdland,Plastylite,$450.00
