Label,Country,Genre,Release_Date,Style,fpress,spress,tpress,original,rare,dgroove,sealed,promo,xnotes,price,artist,album,reclabel,recyear,rating,votes,haves,wants,sleeve_cond_abbr,media_cond_abbr,seller_rating,media_cond_num,sleeve_cond_num
Verve Records – MG V-8251,US,Jazz,1957,"Bop, Hard Bop, Cool Jazz",0,0,0,1,0,1,0,0,1,60.0,Stan Getz And The Oscar Peterson Trio , Stan Getz And The Oscar Peterson Trio,Verve Records ,57,4.31,32.0,227.0,224.0,G,VG,1.0,5,3
Columbia – CS 8983,US,Jazz,1964,"Hard Bop, Modal",0,0,0,0,0,0,0,0,0,60.0,Miles Davis , Miles Davis In Europe,Columbia ,64,4.29,49.0,691.0,184.0,VG+,NM or M-,1.0,7,6
Jazzland – AM 87,US,Jazz,1963,Hard Bop,0,0,0,0,0,0,0,0,0,62.0,Red Garland Quintet* , Red's Good Groove,Jazzland ,63,4.67,6.0,42.0,67.0,VG+,VG,0.995,5,6
Smash Records (4) – MGS-27027,US,Jazz,1962,Hard Bop,0,0,0,0,0,0,0,0,0,60.0,Billy Mitchell , This Is Billy Mitchell,Smash Records (4) ,62,4.0,5.0,43.0,46.0,G,VG,1.0,5,3
"Prestige – PR 7229, Prestige – PRLP 7229",US,Jazz,1962,Hard Bop,0,0,0,0,0,0,0,0,0,60.0,The Red Garland Quintet With John Coltrane , Dig It!,Prestige ,62,4.57,7.0,96.0,168.0,VG,VG,0.9940000000000001,5,5
Limelight – LS 86045,US,Jazz,1967,"Bop, Hard Bop",0,0,0,0,0,0,0,0,0,60.0,Milt Jackson , Born Free,Limelight ,67,4.33,15.0,115.0,45.0,NM or M-,NM or M-,0.991,7,7
"Impulse! – A-9133, ABC Records – A-9133",US,Jazz,1968,"Soul-Jazz, Hard Bop",0,0,0,1,1,0,1,1,1,60.0,Shirley Scott & Clark Terry , Soul Duo,Impulse! ,68,4.13,8.0,116.0,38.0,VG+,NM or M-,0.965,7,6
Atlantic – 1419,US,Jazz,1964,Hard Bop,1,0,0,0,0,0,0,0,1,60.0,John Coltrane , Coltrane's Sound,Atlantic ,64,4.56,25.0,252.0,357.0,G,VG,0.9940000000000001,5,3
Atlantic – SD 3004,US,Jazz,Apr 1966,"Hard Bop, Modal",0,0,0,1,1,0,1,1,1,60.0,Joe Zawinul , Money In The Pocket,Atlantic ,66,4.83,6.0,76.0,136.0,NM or M-,NM or M-,1.0,7,7
Riverside Records – RLP 12-300,US,Jazz,1965,"Bop, Hard Bop",0,0,0,0,0,0,0,0,0,60.0,The Thelonious Monk Orchestra , At Town Hall,Riverside Records ,65,3.5,2.0,26.0,20.0,VG+,VG,0.9890000000000001,5,6
Columbia – CS 8607,US,Jazz,1962,"Hard Bop, Post Bop",0,0,0,1,1,0,1,1,1,60.0,The New Dynamic Chico Hamilton Quintet* , Drumfusion,Columbia ,62,4.5,6.0,77.0,92.0,VG+,NM or M-,0.997,7,6
"Blue Note – BST 84266, Blue Note – BLP 4266",US,Jazz,1967,"Hard Bop, Post Bop",0,0,0,1,0,0,0,0,1,60.0,Larry Young , Contrasts,Blue Note ,67,4.22,23.0,252.0,157.0,VG+,M,0.986,8,6
CBS – 8412,Argentina,Jazz,1962,"Hard Bop, Modal",0,0,0,0,0,0,0,0,0,60.0,Miles Davis , Miles Davis At Carnegie Hall,CBS ,62,0.0,0.0,17.0,43.0,VG+,NM or M-,1.0,7,6
New Jazz – NJLP-8273,US,Jazz,1962,Hard Bop,0,0,0,0,0,1,0,0,1,60.0,Jaki Byard , Hi-Fly,New Jazz ,62,4.36,11.0,59.0,98.0,VG,VG,1.0,5,5
Blue Note – BLP 4017,US,Jazz,1966,Hard Bop,0,0,1,0,0,0,0,0,1,60.0,The Horace Silver Quintet & Trio* , Blowin' The Blues Away,Blue Note ,66,5.0,3.0,37.0,97.0,VG+,VG+,0.997,6,6
Blue Note – BLP 4162,US,Jazz,Mar 1965,Hard Bop,1,0,0,1,0,1,0,0,1,60.55,Stanley Turrentine , Hustlin',Blue Note ,65,4.29,14.0,158.0,196.0,VG,G+,0.971,4,5
Blue Note – BST 84364,US,Jazz,1970,"Soul-Jazz, Hard Bop, Jazz-Funk",0,0,0,0,0,0,0,0,0,60.0,Jimmy McGriff , Something To Listen To,Blue Note ,70,4.23,30.0,296.0,130.0,M,M,0.966,8,8
Blue Note – BLP 1595,US,Jazz,1960,"Bop, Hard Bop",0,0,1,0,0,0,0,0,1,61.49,Cannonball Adderley , Somethin' Else,Blue Note ,60,4.63,19.0,116.0,438.0,G+,G+,0.9990000000000001,4,4
Swedisc – SWEP 103,Sweden,Jazz,1963,Hard Bop,0,0,0,0,0,0,0,0,0,60.0,Lars Lystedt Sextet , The Runner / The Hammoc,Swedisc ,63,4.67,3.0,26.0,73.0,VG+,NM or M-,0.9990000000000001,7,6
Columbia – CS 8983,US,Jazz,1965,"Hard Bop, Modal",0,0,0,0,0,0,0,0,0,60.0,Miles Davis , Miles Davis In Europe,Columbia ,65,4.25,4.0,36.0,26.0,VG+,NM or M-,0.9990000000000001,7,6
Atlantic – SD 1416,US,"Jazz, Blues",1965,Hard Bop,0,0,0,0,0,0,0,0,0,60.0,Charlie Mingus* , Tonight At Noon,Atlantic ,65,4.38,34.0,329.0,142.0,VG+,NM or M-,1.0,7,6
Prestige – PR 7795,US,Jazz,1970,Hard Bop,0,0,0,1,1,0,1,1,1,60.0,Pat Martino , Desperado,Prestige ,70,4.0,3.0,54.0,104.0,VG+,NM or M-,1.0,7,6
Riverside Records – RLP 12-269,US,Jazz,1958,Hard Bop,0,0,0,0,0,0,0,0,0,60.0,Julian Adderley Quintet* , Portrait Of Cannonball,Riverside Records ,58,4.0,9.0,196.0,136.0,VG+,VG,1.0,5,6
"Atlantic – 1278, Atlantic – SD 1278",US,Jazz,1966,"Bop, Hard Bop",0,0,0,0,0,0,0,0,0,60.0,Art Blakey's Jazz Messengers* With Thelonious Monk , Art Blakey's Jazz Messengers With Thelonious Monk,Atlantic ,66,4.5,8.0,73.0,101.0,NM or M-,NM or M-,1.0,7,7
Blue Note – BLP 1528,US,Jazz,1958,"Soul-Jazz, Hard Bop",0,0,1,0,0,0,0,0,1,60.0,The Incredible Jimmy Smith* ," At Club ""Baby Grand"" Wilmington, Delaware, (Volume 1)",Blue Note ,58,4.0,2.0,43.0,51.0,VG,VG,1.0,5,5
Columbia – CS 8851,US,Jazz,Sep 1963,"Hard Bop, Modal",0,0,0,1,0,0,0,0,1,61.18,Miles Davis , Seven Steps To Heaven,Columbia ,63,4.61,23.0,252.0,134.0,VG+,VG+,1.0,6,6
Columbia – CS 8765,US,Jazz,1963,Hard Bop,0,0,0,0,0,0,0,0,0,60.0,The Thelonious Monk Quartet , Monk's Dream,Columbia ,63,4.57,133.0,1364.0,486.0,VG+,VG+,1.0,6,6
Epic – LA 16009,US,Jazz,1960,Hard Bop,0,0,0,0,0,1,0,0,1,60.0,Art Blakey's Jazz Messengers* , Paris Concert,Epic ,60,4.2,5.0,92.0,65.0,G+,VG+,0.997,6,4
"World Pacific Jazz – ST-20137, Pacific Jazz – ST 20137",US,Jazz,1968,"Hard Bop, Easy Listening",0,0,0,0,0,0,0,0,0,60.0,Wes Montgomery With The Montgomery Brothers , A Portrait Of Wes Montgomery,World Pacific Jazz ,68,3.25,4.0,75.0,9.0,M,M,1.0,8,8
Columbia – CL 2178,US,Jazz,1964,"Hard Bop, Bop, Modal",0,0,0,1,0,0,0,0,1,60.0,The Miles Davis Sextet & The Thelonious Monk Quartet , Miles & Monk At Newport,Columbia ,64,3.5,6.0,79.0,43.0,VG,VG+,0.9990000000000001,6,5
Columbia – CS 8456,US,Jazz,1961,Hard Bop,0,0,0,1,0,0,0,0,1,60.0,Miles Davis Sextet* , Someday My Prince Will Come,Columbia ,61,4.43,14.0,202.0,203.0,G,VG,1.0,5,3
Blue Note – BLP 1589,US,Jazz,Mar 1958,Hard Bop,1,0,1,1,0,1,0,0,1,62.0,The Horace Silver Quintet , Further Explorations,Blue Note ,58,4.39,41.0,253.0,245.0,VG,VG,0.996,5,5
Blue Note – BLP 4076,US,Jazz,Aug 1961,Hard Bop,1,0,0,1,0,1,0,0,1,60.0,The Horace Silver Quintet , Doin' The Thing - At The Village Gate,Blue Note ,61,4.28,53.0,598.0,245.0,VG+,VG+,0.867,6,6
Riverside Records – RS 3010,US,Jazz,1968,"Hard Bop, Free Jazz",1,0,0,0,0,0,0,1,1,60.0,Sonny Rollins , The Freedom Suite,Riverside Records ,68,5.0,2.0,6.0,13.0,VG+,VG+,1.0,6,6
Atlantic – 3007,US,Jazz,1967,Hard Bop,0,0,0,0,0,0,0,0,0,60.0,Roland Kirk , Here Comes The Whistleman,Atlantic ,67,3.69,13.0,126.0,56.0,NM or M-,NM or M-,1.0,7,7
Columbia – CS 9149,US,Jazz,1965,"Hard Bop, Bop",0,0,0,1,1,0,1,1,1,60.99,Thelonious Monk , Solo Monk,Columbia ,65,4.45,44.0,519.0,292.0,VG+,NM or M-,0.993,7,6
Riverside Records – RLP 12-298,US,Jazz,1959,"Bop, Hard Bop",0,0,0,0,0,0,0,0,0,60.0,Wynton Kelly , Kelly Blue,Riverside Records ,59,4.43,7.0,118.0,202.0,VG,VG,1.0,5,5
Riverside Records – RLP 355,US,Jazz,1960,"Bop, Hard Bop",0,0,0,0,0,0,0,0,0,60.0,Cannonball Adderley , Cannonball Adderley And The Poll-Winners Featuring Ray Brown And Wes Montgomery,Riverside Records ,60,4.13,16.0,270.0,78.0,NM or M-,NM or M-,1.0,7,7
"Savoy Records – 12180, Savoy Records – MG-12180",US,Jazz,1963,"Cool Jazz, Hard Bop",0,0,0,0,0,0,0,0,0,60.0,Jack Brokensha , And Then I Said,Savoy Records ,63,0.0,0.0,13.0,11.0,NM or M-,NM or M-,0.996,7,7
Blue Note – BLP 1522,US,Jazz,1959,Hard Bop,0,0,1,0,0,1,0,0,1,60.0,Art Blakey Quintet ," A Night At Birdland, Volume 2",Blue Note ,59,4.86,7.0,54.0,73.0,G,G,0.988,3,3
CBS/Sony – SONP 50033,Japan,Jazz,1968,Hard Bop,0,0,0,0,0,0,0,0,0,60.0,Miles Davis , 'Round About Midnight,CBS/Sony ,68,5.0,5.0,30.0,200.0,NM or M-,NM or M-,0.996,7,7
"Impulse! – SR-3062, Impulse! – AS 20",Japan,Jazz,1970,"Hard Bop, Cool Jazz",0,0,0,0,0,1,0,0,1,59.99,Shelly Manne , 2 3 4,Impulse! ,70,5.0,1.0,9.0,17.0,VG+,NM or M-,0.995,7,6
Atlantic – ATL-5012,Japan,Jazz,1958,"Bop, Hard Bop",0,0,0,1,1,0,1,1,1,60.0,Art Blakey's Jazz Messengers* With Thelonious Monk , Art Blakey's Jazz Messengers With Thelonious Monk,Atlantic ,58,4.0,1.0,13.0,82.0,NM or M-,NM or M-,1.0,7,7
Columbia – CL 2601,US,Jazz,Jan 1967,"Hard Bop, Post Bop, Modal",1,0,0,0,0,0,0,0,1,59.99,The Miles Davis Quintet , Miles Smiles,Columbia ,67,0.0,0.0,25.0,103.0,G,VG,0.997,5,3
Prestige – PR 7303,US,Jazz,1964,Hard Bop,0,0,0,0,0,0,0,0,0,60.0,Ronnie Mathews With Freddie Hubbard , Doin' The Thang!,Prestige ,64,4.75,4.0,36.0,131.0,G+,VG,0.997,5,4
RCA Victor – SF-7514,UK,Jazz,1962,Hard Bop,0,0,0,0,0,0,0,0,0,60.0,Charlie Mingus* , Tijuana Moods,RCA Victor ,62,5.0,3.0,25.0,100.0,VG+,VG+,0.996,6,6
"Prestige – 7003, Prestige – PRLP 7003",US,Jazz,1955,"Hard Bop, Cool Jazz",0,0,0,1,1,0,1,1,1,60.0,Milt Jackson , Milt Jackson Quartet,Prestige ,55,4.33,18.0,155.0,168.0,VG+,VG+,0.998,6,6
"Impulse! – AS-4, ABC Records – AS-4",US,Jazz,1968,"Hard Bop, Contemporary Jazz",0,0,0,0,0,0,0,0,0,60.0,The Gil Evans Orchestra* , Out Of The Cool,Impulse! ,68,4.64,11.0,82.0,80.0,NM or M-,NM or M-,1.0,7,7
"Vee Jay Records – RANK-5059, Top Rank International – RANK-5059",Japan,Jazz,1960,Hard Bop,0,0,0,0,0,0,0,0,0,60.0,Wayne Shorter , Introducing Wayne Shorter,Vee Jay Records ,60,4.5,2.0,13.0,52.0,NM or M-,NM or M-,0.973,7,7
Impulse! – A-32,US,Jazz,1965,"Hard Bop, Modal",0,0,0,0,0,0,0,0,0,60.0,John Coltrane Quartet* , Ballads,Impulse! ,65,4.62,47.0,424.0,268.0,G,VG,1.0,5,3
Blue Note – BLP 4078,US,"Jazz, Blues",1961,"Soul-Jazz, Hard Bop",1,0,0,0,0,1,0,0,1,59.99,The Incredible Jimmy Smith* , Midnight Special,Blue Note ,61,4.38,84.0,1011.0,263.0,NM or M-,VG+,0.9940000000000001,6,7
"Impulse! – A-77, Impulse! – AS-77, ABC Records – AS-77",US,Jazz,1970,"Hard Bop, Modal, Avant-garde Jazz",0,0,0,0,0,0,0,0,0,60.0,John Coltrane , A Love Supreme,Impulse! ,70,4.5,2.0,14.0,160.0,VG+,VG+,1.0,6,6
"A&M Records – LP 3006, CTI Records – LP 3006, A&M Records – SP-3006, CTI Records – SP-3006",US,Jazz,1968,Hard Bop,0,0,0,0,0,0,0,0,0,60.0,Wes Montgomery , Down Here On The Ground,A&M Records ,68,4.23,22.0,410.0,59.0,M,M,1.0,8,8
Capitol Records – ST 2399,US,Jazz,1965,"Hard Bop, Soul-Jazz, Modal",0,0,0,0,0,0,0,0,0,60.0,Cannonball Adderley , Cannonball Adderley-Live!,Capitol Records ,65,3.86,22.0,299.0,59.0,VG+,NM or M-,0.955,7,6
Atlantic – 1278,US,Jazz,1958,"Bop, Hard Bop",0,0,0,0,0,0,0,0,0,59.99,Art Blakey's Jazz Messengers* With Thelonious Monk , Art Blakey's Jazz Messengers With Thelonious Monk,Atlantic ,58,4.21,42.0,356.0,431.0,VG+,VG+,0.9670000000000001,6,6
"Blue Note – 1554, Blue Note – BLP 1554",US,"Jazz, Latin",May 1957,"Afro-Cuban Jazz, Hard Bop",1,0,1,1,0,1,0,0,1,59.99,Art Blakey , Orgy In Rhythm (Volume One),Blue Note ,57,4.1,31.0,255.0,343.0,G+,VG,1.0,5,4
"Prestige – 7129, Prestige – PRLP 7129",US,Jazz,1958,Hard Bop,1,1,0,0,0,1,0,0,1,59.99,The Miles Davis Quintet , Relaxin' With The Miles Davis Quintet,Prestige ,58,4.67,3.0,16.0,52.0,G+,G+,1.0,4,4
Verve Records – MG V-8249,US,Jazz,Dec 1957,"Bop, Hard Bop",0,0,0,0,0,0,0,0,0,60.0,Stan Getz Meets Gerry Mulligan , Getz Meets Mulligan In Hi-FI,Verve Records ,57,3.95,19.0,292.0,123.0,VG,VG+,1.0,6,5
Fantasy – 6001,US,Jazz,1962,Hard Bop,0,0,0,0,0,0,0,0,0,60.0,Miles Davis , Blue Moods,Fantasy ,62,4.71,7.0,49.0,137.0,VG+,VG+,1.0,6,6
Blue Note – BLP 4003,US,Jazz,1962,Hard Bop,1,0,1,0,0,1,0,0,1,60.0,Art Blakey And The Jazz Messengers* , Art Blakey And The Jazz Messengers,Blue Note ,62,4.67,15.0,107.0,372.0,VG+,G+,1.0,4,6
Vortex Records (2) – 2004,US,Jazz,1968,Hard Bop,0,0,0,0,0,0,0,1,1,59.99,Chick Corea , Tones For Joan's Bones,Vortex Records (2) ,68,4.86,14.0,142.0,238.0,VG+,VG+,0.996,6,6
Riverside Records – RLP 434,US,Jazz,1962,Hard Bop,0,0,0,0,0,0,0,0,0,59.99,Wes Montgomery , Full House,Riverside Records ,62,4.67,3.0,19.0,80.0,VG,VG+,1.0,6,5
Blue Note – BLP 4088,US,Jazz,1961,"Hard Bop, Soul-Jazz",1,0,0,0,0,0,0,0,1,59.99,The 3 Sounds* , Here We Come,Blue Note ,61,4.12,25.0,186.0,83.0,G+,G+,1.0,4,4
Atlantic – SD 1467,US,Jazz,1966,Hard Bop,0,0,0,0,0,0,0,0,0,59.99,Max Roach , Drums Unlimited,Atlantic ,66,4.25,48.0,466.0,300.0,VG+,VG+,0.995,6,6
Jazzland – JLP 58,US,Jazz,1961,Hard Bop,0,0,0,0,0,0,0,0,0,60.0,The Junior Cook Quintet Featuring Blue Mitchell , Junior's Cookin',Jazzland ,61,4.0,5.0,67.0,101.0,VG,VG+,1.0,6,5
"Prestige – PR 7378, Prestige – PRLP 7378",US,Jazz,1965,Hard Bop,0,0,0,0,0,0,0,0,0,60.0,John Coltrane , The Last Trane,Prestige ,65,4.31,16.0,165.0,148.0,G+,G+,0.987,4,4
Regent – MG-6039,US,Jazz,1957,"Hard Bop, Cool Jazz",0,0,0,1,0,1,0,0,1,59.99,Dorothy Ashby , The Jazz Harpist,Regent ,57,4.53,17.0,152.0,474.0,G+,G+,1.0,4,4
Atlantic – 1443,US,Jazz,1965,Hard Bop,0,0,0,0,0,0,0,1,1,60.0,Elvin Jones , And Then Again,Atlantic ,65,0.0,0.0,18.0,39.0,NM or M-,NM or M-,1.0,7,7
Impulse! – A-86,US,Jazz,1965,"Hard Bop, Free Jazz",0,0,0,0,0,0,0,0,0,60.0,Archie Shepp , Fire Music,Impulse! ,65,4.37,19.0,170.0,206.0,VG+,VG+,0.988,6,6
Josie – JJM 3507,US,Jazz,1963,"Bop, Hard Bop, Swing",0,0,0,0,0,0,0,0,0,59.99,Jackie McLean Sextet , Jackie McLean Sextet,Josie ,63,5.0,1.0,14.0,15.0,VG+,VG+,0.9940000000000001,6,6
Prestige – PR 7213,US,Jazz,1964,Hard Bop,0,0,0,0,0,0,0,0,0,59.99,John Coltrane , Settin' The Pace,Prestige ,64,4.67,6.0,107.0,122.0,G,VG+,0.98,6,3
Impulse! – SR 3023,Japan,Jazz,1969,"Hard Bop, Modal",0,0,0,1,1,0,1,1,1,60.0,Bill Evans / Roy Haynes / Eric Dolphy / Oliver Nelson / Paul Chambers (3) / Freddie Hubbard , The Blues And The Abstract Truth,Impulse! ,69,4.0,4.0,33.0,143.0,VG+,NM or M-,1.0,7,6
Columbia – CS 8192,US,Jazz,1961,"Bop, Hard Bop",0,0,0,0,0,0,0,0,0,60.0,The Dave Brubeck Quartet , Time Out,Columbia ,61,4.82,22.0,126.0,395.0,VG,VG,1.0,5,5
"Riverside Records – RM 490, Riverside Records – 490",US,Jazz,1966,"Bop, Hard Bop",0,0,0,1,1,0,1,1,1,59.99,Thelonious Monk with John Coltrane , Monk & Coltrane,Riverside Records ,66,4.5,2.0,88.0,210.0,VG+,NM or M-,0.9940000000000001,7,6
Columbia – CL 949,US,Jazz,1961,Hard Bop,0,0,0,0,0,1,0,0,1,59.99,Miles Davis , 'Round About Midnight,Columbia ,61,4.25,4.0,29.0,185.0,VG+,VG,0.991,5,6
Columbia – SCX 6215,UK,"Jazz, Folk, World, & Country",1968,"Hard Bop, Indian Classical",0,0,0,1,1,0,1,1,1,59.99,Joe Harriott - John Mayer Double Quintet* , Indo-Jazz Fusions II,Columbia ,68,4.2,5.0,53.0,135.0,NM or M-,NM or M-,0.995,7,7
United Artists Jazz – UAJS 15001,US,Jazz,1963,"Hard Bop, Modal",0,0,0,1,0,0,0,0,1,60.0,John Coltrane , Coltrane Time,United Artists Jazz ,63,4.2,15.0,213.0,99.0,VG+,NM or M-,1.0,7,6
Columbia – CS 8456,US,Jazz,1961,Hard Bop,0,0,0,0,0,0,0,0,0,60.0,Miles Davis Sextet* , Someday My Prince Will Come,Columbia ,61,4.42,57.0,655.0,268.0,VG,VG,1.0,5,5
Blue Note – BST 84283,US,Jazz,1968,"Hard Bop, Post Bop, Modal",0,0,0,0,0,0,0,0,0,60.0,Booker Ervin , The In Between,Blue Note ,68,4.67,3.0,40.0,35.0,VG,NM or M-,1.0,7,5
Riverside Records – 12-250,US,Jazz,1958,Hard Bop,0,0,0,0,0,0,0,0,0,60.0,Freddie Redd Trio , San Francisco Suite,Riverside Records ,58,2.5,2.0,38.0,45.0,VG+,VG,1.0,5,6
"Prestige – PR 7303, Prestige – PRLP 7303",US,Jazz,1964,Hard Bop,0,0,0,0,0,0,0,0,0,60.0,Ronnie Mathews With Freddie Hubbard , Doin' The Thang,Prestige ,64,4.0,1.0,22.0,84.0,VG+,VG+,0.996,6,6
Columbia – CL 2178,US,Jazz,Jun 1964,"Hard Bop, Bop, Modal",0,0,0,1,0,0,0,0,1,59.99,"The Miles Davis Sextet Featuring John Coltrane And ""Cannonball"" Adderley*, The Thelonious Monk Quartet And Pee Wee Russell ", Miles & Monk At Newport,Columbia ,64,4.21,29.0,437.0,81.0,VG+,VG+,0.993,6,6
Riverside Records – RS 9468,US,Jazz,1963,"Hard Bop, Soul-Jazz",0,0,0,0,0,0,0,0,0,59.99,Bobby Timmons Trio* , Born To Be Blue!,Riverside Records ,63,4.11,9.0,62.0,65.0,NM or M-,VG+,1.0,6,7
Blue Note – BLP 1522,US,Jazz,1959,Hard Bop,0,0,1,0,0,1,0,0,1,60.0,Art Blakey Quintet ," A Night At Birdland, Volume 2",Blue Note ,59,4.86,7.0,54.0,73.0,G+,G,0.9590000000000001,3,4
Blue Note – BLP 4090,US,Jazz,Dec 1961,"Bop, Hard Bop",1,0,0,1,0,0,0,0,1,60.0,Art Blakey & The Jazz Messengers , Mosaic,Blue Note ,61,4.51,65.0,438.0,396.0,G+,G+,0.9229999999999999,4,4
Verve Records – V6-8794,US,"Jazz, Funk / Soul",1969,"Soul-Jazz, Hard Bop",0,0,0,1,1,0,1,1,1,60.0,Jimmy Smith , Groove Drops,Verve Records ,69,4.04,25.0,320.0,133.0,NM or M-,M,1.0,8,7
Atlantic – SD 1311,US,Jazz,1966,"Hard Bop, Modal",0,0,0,0,0,0,0,0,0,60.0,John Coltrane , Giant Steps,Atlantic ,66,4.67,9.0,51.0,286.0,VG+,VG+,1.0,6,6
Columbia – CS 8612,US,Jazz,1962,"Hard Bop, Modal",0,0,0,1,0,0,0,0,1,60.0,Miles Davis , Miles Davis At Carnegie Hall,Columbia ,62,4.12,52.0,724.0,114.0,VG+,NM or M-,1.0,7,6
Blue Note – BST 84283,US,Jazz,1968,"Hard Bop, Post Bop, Modal",0,0,0,0,0,0,0,0,0,60.0,Booker Ervin , The In Between,Blue Note ,68,4.67,3.0,40.0,35.0,VG+,VG+,1.0,6,6
Pacific Jazz – ST-41,US,Jazz,1967,Hard Bop,0,0,0,0,0,0,0,0,0,59.99,Kenny Dorham & Jackie McLean , Inta Somethin',Pacific Jazz ,67,0.0,0.0,1.0,9.0,VG+,VG+,0.995,6,6
"Impulse! – Stereo A-32, Impulse! – AS-32",US,Jazz,1965,"Hard Bop, Modal",1,1,0,0,0,0,0,0,1,59.99,John Coltrane Quartet* , Ballads,Impulse! ,65,4.67,12.0,218.0,175.0,G,G+,1.0,4,3
Columbia – CS 8978,US,Jazz,1967,"Hard Bop, Modal",0,0,0,1,0,0,0,0,1,60.0,The Miles Davis Sextet & The Thelonious Monk Quartet , Miles & Monk At Newport,Columbia ,67,4.62,13.0,124.0,47.0,VG+,VG+,1.0,6,6
Columbia – CS 8192,US,Jazz,1962,"Bop, Hard Bop",0,1,0,0,0,0,0,0,1,59.99,The Dave Brubeck Quartet , Time Out,Columbia ,62,4.58,12.0,137.0,356.0,VG,VG+,1.0,6,5
Atlantic – 1368,US,Jazz,1962,Hard Bop,0,0,0,0,0,0,0,0,0,59.99,Milt Jackson & John Coltrane , Bags & Trane,Atlantic ,62,5.0,2.0,9.0,73.0,VG+,VG+,1.0,6,6
"Prestige – PR 7245, Prestige – PRLP 7245",US,Jazz,1962,Hard Bop,0,0,0,0,0,0,0,0,0,59.99,Thelonious Monk , We See,Prestige ,62,4.4,5.0,66.0,103.0,VG+,NM or M-,0.995,7,6
New Jazz – NJLP 8224,US,Jazz,1959,Hard Bop,0,0,0,0,0,1,0,0,1,59.99,Oliver Nelson , Meet Oliver Nelson,New Jazz ,59,3.5,4.0,52.0,82.0,VG,VG,1.0,5,5
Impulse! – A-40,US,Jazz,1963,"Ballad, Vocal, Hard Bop",0,0,0,0,0,0,0,0,0,59.99,John Coltrane And Johnny Hartman , John Coltrane And Johnny Hartman,Impulse! ,63,4.38,60.0,498.0,654.0,VG+,G+,0.993,4,6
"Atlantic – 1278, Atlantic – SD 1278",US,Jazz,1966,"Bop, Hard Bop",0,0,0,0,0,0,0,0,0,59.99,Art Blakey's Jazz Messengers* With Thelonious Monk , Art Blakey's Jazz Messengers With Thelonious Monk,Atlantic ,66,4.5,8.0,73.0,101.0,VG+,VG,1.0,5,6
Atlantic – SD 1443,US,Jazz,1965,Hard Bop,0,0,0,0,0,0,0,0,0,60.0,Elvin Jones , And Then Again,Atlantic ,65,4.29,7.0,83.0,101.0,NM or M-,NM or M-,1.0,7,7
EmArcy – MG 36098,US,Jazz,1957,"Bop, Hard Bop",0,0,0,1,1,0,1,1,1,60.0,Max Roach , +4,EmArcy ,57,4.12,17.0,203.0,118.0,VG+,VG+,0.987,6,6
Blue Note – BLP 1552,US,Jazz,1957,"Hard Bop, Bop",1,0,0,0,0,0,0,0,1,60.0,Jimmy Smith , Jimmy Smith At The Organ (Volume 2),Blue Note ,57,5.0,1.0,29.0,50.0,VG,VG,0.99,5,5
United Artists Jazz – UAJS 15005,US,Jazz,1962,"Contemporary Jazz, Post Bop, Hard Bop",0,0,0,0,0,0,0,0,0,59.99,Charles Mingus , Wonderland,United Artists Jazz ,62,4.5,10.0,87.0,48.0,G,VG+,0.98,6,3
Prestige – PR 7342,US,Jazz,1965,Hard Bop,0,0,0,1,0,0,0,0,1,60.0,"Charlie Rouse, Donald Byrd, Jackie McLean, Ray Bryant, Frank Foster, Arthur Taylor* ", Hard Cookin',Prestige ,65,4.67,9.0,112.0,34.0,NM or M-,NM or M-,0.996,7,7
"Vee Jay Records – LP-3022, Vee Jay Records – VJLP-3022",US,Jazz,1961,Hard Bop,0,0,0,0,0,0,0,0,0,60.0,Wynton Kelly , Wynton Kelly!,Vee Jay Records ,61,4.25,8.0,136.0,81.0,VG,VG+,1.0,6,5
Blue Note – BST 84131,US,Jazz,1963,Hard Bop,1,0,0,0,0,0,0,0,1,60.0,The Horace Silver Quintet , Silver's Serenade,Blue Note ,63,4.52,25.0,187.0,119.0,VG+,VG+,0.998,6,6
Blue Note – BLP 4078,US,"Jazz, Blues",1961,"Soul-Jazz, Hard Bop",1,0,0,0,0,1,0,0,1,59.99,The Incredible Jimmy Smith* , Midnight Special,Blue Note ,61,4.38,84.0,1011.0,263.0,VG+,VG+,0.997,6,6
Versailles (2) – MEDX 12023,France,Jazz,1959,"Bop, Hard Bop",0,0,0,0,0,0,0,0,0,59.99,Art Blakey's Jazz Messengers* Avec Thelonious Monk , Art Blakey's Jazz Messengers Avec Thelonious Monk,Versailles (2) ,59,5.0,2.0,32.0,115.0,VG,VG,0.9940000000000001,5,5
Blue Note – BLP 4128,US,Jazz,1963,"Hard Bop, Soul-Jazz",0,0,0,0,0,0,0,0,0,60.0,Freddie Roach , Mo' Greens Please,Blue Note ,63,4.59,17.0,142.0,131.0,G+,VG,0.9990000000000001,5,4
"Blue Note – BST 84017, Blue Note – ST-84017, Blue Note – 84017",US,Jazz,1959,Hard Bop,0,0,1,0,0,1,0,0,1,60.0,The Horace Silver Quintet & The Horace Silver Trio , Blowin' The Blues Away,Blue Note ,59,4.3,20.0,144.0,184.0,VG+,VG,0.9890000000000001,5,6
Blue Note – BST 84335,US,Jazz,1969,Hard Bop,0,0,0,0,0,0,0,0,0,60.0,Lee Morgan , The Sixth Sense,Blue Note ,69,4.29,34.0,353.0,256.0,NM or M-,VG,0.987,5,7
