Artist_Album,Label,Country,Format,Notes,Genre,Release_Date,Style,Rate_Haves_Wants,Media_Condition,Sleeve_Condition,Seller_Rating,Recorded_at,Pressed_by,Price
Hank Mobley – No Room For Squares,Blue Note – BLP 4149,US,"Vinyl, LP, Album, Mono","Blue and white Blue Note Records Inc. New York USA labels.

Blue Note Records Inc., 43 West 61st St., New York, 23 address on back cover.

Recorded on March 7 (A3, B3) and October 2 (all others), 1963",Jazz,1964,Hard Bop,"Rated 4.68 of 34 votes (239 have, 633 want)",Very Good (VG),Sleeve: Very Good Plus (VG+),96.8%,"Van Gelder Studio, Englewood Cliffs, New Jersey",Plastylite,$499.99
"Patty McGovern, Thomas Talbert – Wednesday's Child",Atlantic – 1245,US,"Vinyl, LP, Album, Mono",nan,Jazz,1956,Vocal,"Rated 4.00 of 2 votes (19 have, 47 want)",Very Good Plus (VG+),Sleeve: Very Good (VG),99.7%,nan,nan,$450.00
Modern Jazz Workshop – Cool Sounds From Kansas City,Modern Jazz Workshop – MJW-101,US,"Vinyl, LP, Album","This is a live concert recording at ""The Jewish Community Center"" Kansas City, Mo. from 1958. The founders of the Kansas City ""Modern Jazz Workshop"" were Dean Stringer, Dick Fowler Jr. and later Kelly O'Neill replacing Dean.

This Lp marks Marilyn Maye's first recording performance.",Jazz,1958,"Easy Listening, Swing, Cool Jazz","Rated 4.00 of 4 votes (12 have, 9 want)",Very Good Plus (VG+),Sleeve: Very Good Plus (VG+),100.0%,nan,nan,$439.00
Tubby Hayes And The Jazz Couriers Featuring Ronnie Scott – The Jazz Couriers,Tempo Records (5) – TAP 15,UK,"Vinyl, LP, Album, Mono","As compiled in Just Jazz 3 (Jazz Discography 1958) by Frank Dutton and Eric Townley.

Recorded: London, August 8, 1957 (A1, A2, B3, B4)
Recorded: London, August 15, 1957 (A3 to B2)

Cover variation. 'The Jazz Couriers' on front, 'Tubby Hayes and the Jazz Couriers' on back.
also released with 'Tubby Hayes and the Jazz Couriers' on front.",Jazz,1958,Hard Bop,"Rated 4.33 of 6 votes (25 have, 136 want)",Very Good (VG),Sleeve: Very Good (VG),95.2%,nan,nan,$468.00
Bill Evans Trio* – Explorations,Riverside Records – RLP 351,US,"Vinyl, LP, Album, Mono","Recorded in New York City on February 2, 1961.

Produced By Bill Grauer Productions, Inc.

Rear sleeve states: ""The present recording is also available in Stereophonic form on RLP 9351.""",Jazz,1961,"Post Bop, Modal","Rated 4.77 of 30 votes (220 have, 621 want)",Very Good (VG),Sleeve: Very Good Plus (VG+),99.7%,Bell Sound Studios,nan,$475.00
The Miles Davis Quintet – Steamin' With The Miles Davis Quintet,"Prestige – 7200, Prestige – PRLP 7200",US,"Vinyl, LP, Album, Mono","1st U.S. pressing: black/yellow 'fireworks' labels.
Upper rim text states:
""PRESTIGE RECORDS,Inc., 203 South Washington Ave., Bergenfield, N.J.""",Jazz,1961,Hard Bop,"Rated 4.57 of 83 votes (838 have, 647 want)",Near Mint (NM or M-),Sleeve: Near Mint (NM or M-),99.5%,nan,"Abbey Record Manufacturing Co., Inc.",$450.00
Elvin Jones – Dear John C.,Impulse! – MONO A-88,US,"Vinyl, LP, Album, Promo, Mono","Tracks A1, A3, B3 & B4 recorded February 25, 1965
Tracks A2, A4, A5, B1 & B2 recorded February 23, 1965",Jazz,1965,,"Rated 4.50 of 2 votes (22 have, 124 want)",Near Mint (NM or M-),Sleeve: Very Good Plus (VG+),99.0%,"Van Gelder Studio, Englewood Cliffs, New Jersey",nan,$453.95
Mel Torme* – Swingin' On The Moon,Verve Records – MG V-2144,US,"Vinyl, LP, Mono",Original deep groove mono pressing.,"Jazz, Pop",1960,"Easy Listening, Vocal, Ballad","No Rating Yet (47 have, 52 want)",Very Good Plus (VG+),Sleeve: Very Good Plus (VG+),100.0%,nan,nan,$459.00
Burt Bacharach – Casino Royale (Original Motion Picture Soundtrack),Colgems – COSO-5005,US,"Vinyl, LP, Album, Stereo","An Original Soundtrack Recording
All selections published by Colgems Music Corp., ASCAP.
A1, B7 courtesy of A & M Records
A2 courtesy of Phillips Records
Recorded in London, England.
© 1967, RCA, New York, N.Y.
Manufactured and distributed by RCA
Printed in U.S.A.","Jazz, Stage & Screen",1967,"Soundtrack, Theme, Easy Listening","Rated 4.35 of 83 votes (1035 have, 322 want)",Near Mint (NM or M-),Sleeve: Near Mint (NM or M-),100.0%,nan,nan,$450.00
Kenny Burrell – Have Yourself A Soulful Little Christmas,"Cadet – LP 779, Cadet – LP-779",US,"Vinyl, LP, Mono",nan,Jazz,1966,,"Rated 4.65 of 17 votes (158 have, 164 want)",Very Good (VG),Sleeve: Very Good (VG),100.0%,Ter Mar Studios,nan,$479.98
Dolly Cooper With Hal Singer's Orch.* / Hal Singer's Orch.* And The Four Buddies – I Wanna' Know / I'd Climb The Highest Mountain,Savoy Records – 891,US,"Vinyl, 10"", 78 RPM","Dolly Cooper sings uncredited on Side B. They probably ran out of room on the label. Another version of this record, identical in every other way, reads ""Dolly Cooper with The Four Buddies"" on Side B.","Jazz, Blues",1953,Rhythm & Blues,"Rated 5.00 of 1 votes (8 have, 4 want)",Very Good Plus (VG+),Sleeve: Very Good Plus (VG+),92.5%,nan,nan,$439.99
Louis Armstrong And His All-Stars – European Concert Recordings By Ambassador Satch,"Columbia – CL 840, Columbia – CL-840",US,"Vinyl, LP, Album, Mono, Hollywood Pressing","Live recordings from Louis Armstrong and his All-Stars' concert tour of Western Europe in the autumn of 1955. Taken from three on-stage sessions, one made at the Concertgebouw in Amsterdam, and the others at a theater in Milan.

(Opening tracks of each side reflect this, with 'Royal Garden Blues' featuring a Dutch local announcer, and 'All of Me' an Italian).

This is the Hollywood pressing of the CL 840 catalog number with red and black six-eye Columbia labels. Pressing information is derived from the deadwax stampings of ""H/"" on both sides.

CL 840 catalog number appears on the front, back and spine of the sleeve. CL-840 catalog number appears on the labels.",Jazz,1956,"Dixieland, Swing","Rated 4.21 of 108 votes (1864 have, 71 want)",Good (G),Sleeve: Good (G),99.4%,"Concertgebouw, Amsterdam","Columbia Records Pressing Plant, Hollywood",$450.00
Miles Davis – Kind Of Blue,Columbia – CL 1355,US,"Vinyl, LP, Album, Misprint, Mono","Recorded on March 2 & April 22, 1959.
Labels are both side US Mono 6-Eye with Deep Groove, 'Made in U. S. A.' printed below.

• On front cover, we read 'Adderly' instead of 'Adderley' (pic. 1).
• Same mistake on back cover (pic. 2).
• Tracks B1 & B2 are reversed on back cover. B1 is supposed to read 'All Blues' but reads 'Flamenco Sketches'. Vice versa for B2 (pic. 2).
• Same thing on label side 2 (pic. 4).

This copy is earlier than Miles Davis - Kind Of Blue because it does not have 'CBS' below Columbia on labels (later issues do).",Jazz,17 Aug 1959,Modal,"Rated 4.93 of 57 votes (290 have, 1093 want)",Very Good Plus (VG+),Sleeve: Very Good (VG),100.0%,nan,nan,$425.00
I Pyranas* – Espressioni Musicali E Suoni D'Attualita' E Di Moda 1,RCA – SP 10011,Italy,"Vinyl, LP","Musica Psichedelica
Musica Beat
Rhythm & Blues","Jazz, Rock, Funk / Soul, Stage & Screen",Apr 1970,"Soundtrack, Jazz-Funk, Jazz-Rock, Funk, Big Band, Beat","Rated 4.00 of 11 votes (28 have, 366 want)",Near Mint (NM or M-),Sleeve: Near Mint (NM or M-),100.0%,nan,nan,$449.00
Lou Donaldson – Quartet / Quintet / Sextet,Blue Note – BLP 1537,US,"Vinyl, LP, Album, Mono","Recorded at WOR Studios on June 20 (A4, A5, B2) and November 19 (A1 to A3, A6), 1952.
Recorded at RVG Studio, Hackensack on August 22, 1954 (B1, B3, B4).",Jazz,1957,,"Rated 4.14 of 7 votes (54 have, 308 want)",Good (G),Sleeve: Good Plus (G+),100.0%,WOR Studios,nan,$450.00
Piero Umiliani – Il Paradiso Dell'Uomo,RCA Italiana – PML 10342,Italy,"Vinyl, LP",On rear cover: 1-63 1000 (copies),"Jazz, Folk, World, & Country, Stage & Screen",1963,"Easy Listening, Soundtrack","Rated 4.43 of 7 votes (27 have, 177 want)",Near Mint (NM or M-),Sleeve: Fair (F),97.3%,nan,nan,$427.28
Kenny Dorham – Una Mas (One More Time),Blue Note – BLP 4127,US,"Vinyl, LP, Album, Mono","Recorded on April 1, 1963.

original release with New York-USA labels",Jazz,1963,"Modal, Latin Jazz","Rated 4.63 of 30 votes (178 have, 407 want)",Very Good Plus (VG+),Sleeve: Very Good Plus (VG+),nan,"Van Gelder Studio, Englewood Cliffs, New Jersey",Plastylite,$450.00
Lester Young – And His Tenor Sax,Aladdin (6) – 706,US,"Vinyl, LP, 10"", Album, Mono","A1 New York City December 28 & 30, 1947
A2,B1,B4 New York February 18, 1947
A3,B2 Chicago October, 1948
A4 Los Angeles December, 1945
B3 New York December 29, 1948",Jazz,1953,,"Rated 5.00 of 1 votes (8 have, 33 want)",Very Good Plus (VG+),Sleeve: Very Good Plus (VG+),100.0%,nan,nan,$449.99
Mel Tormé – Sings Sunday In New York And Other Songs About New York,Atlantic – SD 8091,US,"Vinyl, LP, Stereo",nan,Jazz,1964,Easy Listening,"Rated 3.50 of 2 votes (84 have, 22 want)",Near Mint (NM or M-),Sleeve: Very Good Plus (VG+),100.0%,nan,nan,$459.00
The Three Bars Featuring Nicky Roberts – The Sensitive Touch,Regalia – S-124,US,"Vinyl, LP","Album Sleeve says ""The Three Bars featuring Nicky Roberts and his magic guitar"" but on label it's: ""Nicky Roberts and The Three Bars"".","Jazz, Latin",1962,"Latin Jazz, Bossa Nova","No Rating Yet (11 have, 46 want)",Good (G),Sleeve: Fair (F),99.1%,nan,nan,$467.99
Sonny Rollins – Tour De Force,Prestige – PRLP-7126,US,"Vinyl, LP, Album","Recorded in Hackensack, NJ; December 7, 1956.",Jazz,1958,"Bop, Hard Bop","Rated 4.53 of 15 votes (88 have, 155 want)",Near Mint (NM or M-),Sleeve: Very Good Plus (VG+),100.0%,"Van Gelder Studio, Hackensack, New Jersey",nan,$425.00
The Jazz Messengers* – At The Cafe Bohemia Volume 2,Blue Note – BLP 1508,US,"Vinyl, LP, Album, Mono","Recorded live on November 23, 1955.

1st original mono issue has:
- deep grooved blue/white Blue Note Records labels with 767 Lexington Ave N.Y.C. addess
- flat edge vinyl with RVG etched and ""P"" (otherwise wrongly called ""ear"") for Plastylite etched in the trail off, both sides
- 767 Lexington Ave., New York 21 address on back cover
- blank spine on cover
- Framed cover.",Jazz,May 1956,Hard Bop,"Rated 4.62 of 29 votes (207 have, 413 want)",Very Good (VG),Sleeve: Very Good Plus (VG+),99.6%,Café Bohemia,Plastylite,$468.00
Donald Byrd – Byrd In Flight,Blue Note – BLP 4048,US,"Vinyl, LP, Album, Mono, No P/No DG","This edition has 47 West 63rd labels, RVG stamped, no plastylite P, no deep groove.",Jazz,1966,"Hard Bop, Latin Jazz","Rated 5.00 of 1 votes (0 have, 12 want)",Very Good (VG),Sleeve: Very Good (VG),100.0%,"Van Gelder Studio, Englewood Cliffs, New Jersey",nan,$445.15
"Tommy Flanagan, John Coltrane, Kenny Burrell, Idrees Sulieman – The Cats",New Jazz – NJLP 8217,US,"Vinyl, LP, Album, Mono","Recorded in Hackensack, NJ; April 18, 1957.

Purple NEW JAZZ label, coated cover.",Jazz,1959,Hard Bop,"Rated 4.43 of 21 votes (121 have, 487 want)",Very Good Plus (VG+),Sleeve: Very Good (VG),99.5%,"Van Gelder Studio, Hackensack, New Jersey",nan,$499.00
Miles Davis – Kind Of Blue,Columbia – CL 1355,US,"Vinyl, LP, Album, Mono","Cover is misprinted with tracks B1 and B2 reversed on back cover: ""Flamenco Sketches"" first and ""All Blues"" second, which is not correct.

However, this is not what is referred to as the “Misprint” version. The “Misprint” format only applies to those issues where the Side 2 track listing is incorrect on the label and the sleeve as here Miles Davis - Kind Of Blue
It is true that this issue does have the Side 2 track listing error on the sleeve (or 'back cover' as described above) but this was still present on releases as late as 1977, e.g. PC 8163 Miles Davis - Kind Of Blue The key point is the misprint on the label.

Deep groove mono 6-eye labels.

Recorded March 2 and April 22 of 1959.",Jazz,1959,Modal,"Rated 4.71 of 331 votes (2509 have, 4581 want)",Very Good (VG),Sleeve: Very Good (VG),100.0%,nan,nan,$450.00
Yiannis Manos* – Chiotis Kai Oniro / Matia,"Omonoia Recording Productions – 202,812 / 202,811",US,"Vinyl, 7"", 45 RPM, Single",nan,"Jazz, Funk / Soul, Folk, World, & Country",1969,Soul-Jazz,"No Rating Yet (5 have, 4 want)",Very Good Plus (VG+),Sleeve: Not Graded,99.4%,nan,nan,$478.79
"Tommy Flanagan, John Coltrane, Kenny Burrell, Idrees Sulieman – The Cats",New Jazz – NJLP 8217,US,"Vinyl, LP, Album, Mono","Recorded in Hackensack, NJ; April 18, 1957.

Purple NEW JAZZ label, coated cover.",Jazz,1959,Hard Bop,"Rated 4.43 of 21 votes (121 have, 487 want)",Very Good (VG),Sleeve: Very Good (VG),99.0%,"Van Gelder Studio, Hackensack, New Jersey",nan,$420.00
Sonny Rollins – Way Out West,Stereo Records (4) – S7017,US,"Vinyl, LP, Album, Stereo","Recorded at Contemporary's studio in Los Angeles March 7, 1957. Liner notes dated June 6, 1957.

First stereo pressing",Jazz,1958,Hard Bop,"Rated 4.75 of 16 votes (81 have, 242 want)",Near Mint (NM or M-),Sleeve: Very Good Plus (VG+),100.0%,nan,"RCA Records Pressing Plant, Hollywood",$419.99
Tina Louise – It's Time For Tina,Urania Records (3) – USD 2005,US,"Vinyl, LP, Album, Stereo",nan,Jazz,1957,Vocal,"Rated 4.00 of 5 votes (13 have, 95 want)",Very Good Plus (VG+),Sleeve: Very Good Plus (VG+),99.5%,nan,nan,$400.00
Lee Morgan – Search For The New Land,Blue Note – BLP 4169,US,"Vinyl, LP, Album, Mono","Blue Note Records Inc. - New York USA address blue and white labels.

With ear or p symbol. VAN GELDER stamped in dead wax.

""27 Years Blue Note"" inner sleeve.

Recorded on February 15, 1964.",Jazz,1966,Hard Bop,"Rated 4.54 of 59 votes (359 have, 752 want)",Good (G),Sleeve: Very Good Plus (VG+),99.4%,"Van Gelder Studio, Englewood Cliffs, New Jersey",Plastylite,$400.00
Billy Martin (3) – Strawberry Soul,Trans-World (2) – TWF-9540,Canada,"Vinyl, LP, Album",This listing is for the original pressing. Stop listing reissues here.,"Jazz, Funk / Soul",1970,"Jazz-Funk, Rhythm & Blues, Funk","Rated 4.90 of 10 votes (44 have, 168 want)",Near Mint (NM or M-),Sleeve: Near Mint (NM or M-),100.0%,nan,Trans World Record Inc.,$400.00
Wolfgang Dauner Trio – Dream Talk,CBS – S 62 478,Germany,"Vinyl, LP, Album, Stereo, 3-Panel Gatefold","This is No. 4 in an unnamed series of four 3-panel gatefolds released by CBS Schallplatten GmbH in 1963/1964.

Recorded on September 14, 1964 at Studio Villa Berg, Stuttgart.

""Zehn Notizen"" is written as ""10 Notizen"" on the label.",Jazz,1964,"Contemporary Jazz, Avant-garde Jazz","Rated 4.64 of 14 votes (36 have, 265 want)",Near Mint (NM or M-),Sleeve: Generic,99.7%,"Villa Berg, Stuttgart",nan,$400.00
George Braith – Soul Stream,Blue Note – BLP 4161,US,"Vinyl, LP, Album, Mono","Recorded on December 16, 1963.",Jazz,1963,Hard Bop,"Rated 4.50 of 12 votes (57 have, 142 want)",Very Good Plus (VG+),Sleeve: Very Good Plus (VG+),99.9%,"Van Gelder Studio, Englewood Cliffs, New Jersey",nan,$418.59
Moondog (2) – Moondog,Prestige – PRLP 7042,US,"Vinyl, LP, Album",nan,"Electronic, Jazz, Classical",1957,"Modern Classical, Big Band, Experimental","Rated 4.38 of 24 votes (115 have, 660 want)",Near Mint (NM or M-),Sleeve: Good (G),100.0%,nan,nan,$400.00
Sonny Rollins – Newk's Time,Blue Note – BLP 4001,US,"Vinyl, LP, Album, Mono","Recorded September 22, 1957 (not mentioned on the release).

Both centre labels have a deep groove and ""331/3 Microgroove Long Playing"" and ""Blue Note Records - 47 West 63rd - NYC"" printed.

The 1st original MONO issue has:
- blue and white Blue Note Records 47 West 63rd - NYC address on deep grooved labels, with no ""Inc"" no ®
- RVG stamped, P for Plastylite plant and 9M etched in the dead wax, both sides,
- 47 West 63rd St., New York 23 address on back-cover, with no ""Inc.""
- front laminated cover",Jazz,Jan 1959,Hard Bop,"Rated 4.64 of 33 votes (243 have, 418 want)",Good Plus (G+),Sleeve: Good Plus (G+),100.0%,"Van Gelder Studio, Hackensack, New Jersey",Plastylite,$407.35
Sonny Stitt – Playing Arrangements From The Pen Of Johnny Richards,Roost – RLP 415,US,"Vinyl, LP, 10"", Album, Mono",nan,Jazz,1953,Bop,"No Rating Yet (11 have, 25 want)",Near Mint (NM or M-),Sleeve: Very Good (VG),99.6%,nan,nan,$400.00
"Sonny Rollins – A Night At The ""Village Vanguard""",Blue Note – BLP 1581,US,"Vinyl, LP, Album, Mono","Recorded live on November 3, 1957.

This label has been used from december 1957 up to the end 1959.

The 1st original mono issue has:
- deep grooved blue/white Blue Note Records labels with 47 West 63rd - NYC address
- No ® under the 'E' of Blue Note
- RVG stamped and ""P"" (otherwise wrongly called ""ear"") for Plastylite etched in the trail off
- front laminated cover with no address on back and blank spine",Jazz,Dec 1957,"Hard Bop, Bop","Rated 4.61 of 44 votes (295 have, 496 want)",Very Good (VG),Sleeve: Near Mint (NM or M-),100.0%,Village Vanguard,Plastylite,$400.00
Archie Whitewater – Archie Whitewater,Cadet Concept – LPS 329,US,"Vinyl, LP, Album, Stereo",nan,"Jazz, Rock, Funk / Soul",1970,"Rhythm & Blues, Psychedelic Rock, Funk","Rated 4.57 of 72 votes (315 have, 1127 want)",Mint (M),Sleeve: Mint (M),100.0%,Apostolic Studios,"Columbia Records Pressing Plant, Terre Haute",$425.00
Paul Chambers Quartet – Bass On Top,Blue Note – BLP 1569,US,"Vinyl, LP, Album, Repress, Mono, NEW YORK address","NEW YORK address at both sides on label.
""RVG"" stamped at each side of run-out groove.",Jazz,1966,,"Rated 5.00 of 2 votes (11 have, 67 want)",Near Mint (NM or M-),Sleeve: Near Mint (NM or M-),100.0%,"Van Gelder Studio, Hackensack, New Jersey",nan,$400.00
Dizzy Reece – Asia Minor,"New Jazz – NJ 8274, New Jazz – NJLP 8274",US,"Vinyl, LP, Album, Mono","Recorded in Englewood Cliffs, New Jersey; March 13, 1962

New Jazz Records, 230 So. Washington Ave., Bergenfield, N.J.",Jazz,1962,Hard Bop,"Rated 4.17 of 6 votes (44 have, 213 want)",Very Good Plus (VG+),Sleeve: Very Good (VG),98.3%,"Van Gelder Studio, Englewood Cliffs, New Jersey",nan,$400.00
Don Cherry – Complete Communion,"Blue Note – BLP 4226, Blue Note – 4226",US,"Vinyl, LP, Album, Mono","Recorded on December 24, 1965

First label cat. Nr on labels, second on sleeve (front, rear and spine).

Frederick Cohen's book, ""Blue Note Records: A Guide for Identifying Original Pressings,"" confirms that this is the original mono pressing of this LP, based on Plastysite P, New York, USA on labels and W. 61st St. address on jacket.",Jazz,1966,Free Jazz,"Rated 4.55 of 31 votes (170 have, 420 want)",Near Mint (NM or M-),Sleeve: Very Good Plus (VG+),96.4%,"Van Gelder Studio, Englewood Cliffs, New Jersey",Plastylite,$399.99
The Dick Morrissey Quartet – Here And Now And Sounding Good!,Mercury – 20093 MCL,UK,"Vinyl, LP, Album, Mono","UK original issue black textured label w/ silver print.
Recorded 23rd & 25th September 1966.",Jazz,1967,"Hard Bop, Modal","Rated 3.83 of 6 votes (24 have, 130 want)",Very Good Plus (VG+),Sleeve: Very Good (VG),95.2%,nan,nan,$425.00
Kenny Burrell with Art Blakey – At The Five Spot Cafe,Blue Note – BLP 4021,US,"Vinyl, LP, Album, Mono","Roland Hanna performs by courtesy of Atco Records.

This is the second set, and was recorded at the ""Five Spot Café"", NYC on August 25, 1959.

Labels read: ""Blue Note Records, Inc. 47 West 63rd, NYC""
Deep Groove both sides of label
Back cover: Bottom address reads: ""Blue Note Records Inc., 47 West 63rd St., New York 23""

""RVG"" stamp in the deadwax.
""P"" stamp in the deadwax.

Also released as BST 84021.",Jazz,Mar 1960,,"Rated 4.50 of 20 votes (125 have, 354 want)",Very Good Plus (VG+),Sleeve: Very Good (VG),99.8%,Five Spot Café,Plastylite,$400.00
Harold Vick – Steppin' Out,"Blue Note – BST-84138, Blue Note – ST-84138",US,"Vinyl, LP, Album, Reissue, Stereo","1966 Stereo Reissue, New York USA on Labels. No 'ear' symbol, VAN GELDER and STEREO stamped on both sides of the Runout. Comes with 27 Years Blue Note inner sleeve 1939 - 1966. Front laminated paste on cover.",Jazz,1966,"Bop, Soul-Jazz","Rated 4.67 of 3 votes (13 have, 77 want)",Very Good Plus (VG+),Sleeve: Very Good Plus (VG+),99.5%,nan,nan,$400.00
Bobby Hutcherson – Happenings,Blue Note – BLP 4231,US,"Vinyl, LP, Album, Mono","Recorded on February 6, 1966.

1st orig. mono issue has:
- blue/white Blue Note Records Inc. - New York USA labels (Liberty pressing using stocked New York labels)
- Van Gelder stamped in the trail off, both sides
- Blue Note Records Inc., 43 West 61st St., New York 23 address on back cover
- non-laminated cover

Publishers:
- A1 to A3, B2 to B4: Blue Horizon Music - BMI
- B1: Hancock Music Co. - BMI",Jazz,Jan 1967,Post Bop,"Rated 4.59 of 22 votes (160 have, 500 want)",Very Good Plus (VG+),Sleeve: Very Good Plus (VG+),100.0%,"Van Gelder Studio, Englewood Cliffs, New Jersey",nan,$420.00
"Phil Woods, Gene Quill, Sahib Shihab, Hal Stein – Four Altos","Prestige – 7116, Prestige – PRLP 7116",US,"Vinyl, LP, Album, Mono","Recorded in Hackensack, NJ; February 9, 1957.This is the 1st pressing of this album Deep Groove, RVG, Abbey Records.",Jazz,1958,Bop,"Rated 4.17 of 6 votes (29 have, 159 want)",Very Good Plus (VG+),Sleeve: Very Good (VG),100.0%,"Van Gelder Studio, Hackensack, New Jersey","Abbey Record Manufacturing Co., Inc.",$399.99
Lord Melody – Caribbean Limbo Music,Cook – 1280,Trinidad & Tobago,"Vinyl, Album, LP, Mono","Melody's last album for Cook Records. Cook info lists the recording date as 1962, but the release date as 1963, which means it may have been delayed.

Probably a contractual obligation - it's a compilation of previously released instrumentals recorded by several Cook artists, but with Melody and another artist named Sam providing commentary. The album appears to have been compiled with the intent of producing a limbo dancing album, but it is much closer to easy listening. It's easy to assume this was done to suit the tourist market who would expect calypso to be more laid back.

Interestingly, this style of commentary is similar to the 'toasting' style that would be popular in Jamaican reggae.

Available in both Stereo and Mono. The Stereo version makes particularly inventive use of the stereo field, and is nothing like the 'vocals on left, instruments on right' standard of the time.","Jazz, Reggae, Latin, Folk, World, & Country",1963,Calypso,"Rated 2.50 of 2 votes (6 have, 41 want)",Very Good Plus (VG+),Sleeve: Very Good (VG),nan,nan,nan,$425.00
Beverly Kenney – Like Yesterday,Decca – DL 78948,US,"Vinyl, LP, Album, Stereo",DL 78948 deep-groove STEREO first pressing.,Jazz,1959,Vocal,"Rated 5.00 of 2 votes (5 have, 42 want)",Near Mint (NM or M-),Sleeve: Good (G),100.0%,nan,nan,$400.00
Dexter Gordon – Dexter Calling . . .,Blue Note – BLP 4083,US,"Vinyl, Album, LP, Mono","Paul Chamber performs by courtesy of Vee-Jay Records.

Recorded on May 9, 1961.

VAN GELDER & Plastylite “P” (ear) on both sides in dead wax.",Jazz,Dec 1961,Hard Bop,"Rated 4.59 of 27 votes (156 have, 331 want)",Very Good Plus (VG+),Sleeve: Very Good Plus (VG+),99.9%,"Van Gelder Studio, Englewood Cliffs, New Jersey",Plastylite,$400.00
Miles Davis All Stars – Walkin',"Prestige – 7076, Prestige – PRLP 7076",US,"Vinyl, LP, Album, Repress, Mono, Misprint","Cover variation

This GEM cover variation does NOT have ""PRESTIGE RECORDS, INC., 447 West 50th Street, New York 19, N.Y."" address along bottom of the back cover. Otherwise, it is identical to Miles Davis All Stars - Walkin'

Yellow deep groove Prestige fireworks label with ""203 South Washington Ave. Bergenfield, N.J."" address on the labels, second pressing. Small secondary pressing ring around side B spindle hole attributed to Abbey Record Manufacturing.",Jazz,1959,Hard Bop,"No Rating Yet (14 have, 17 want)",Very Good Plus (VG+),Sleeve: Very Good Plus (VG+),100.0%,nan,"Abbey Record Manufacturing Co., Inc.",$400.00
Miles Davis – Kind Of Blue,Columbia – CL 1355,US,"Vinyl, LP, Album, Mono","Cover is misprinted with tracks B1 and B2 reversed on back cover: ""Flamenco Sketches"" first and ""All Blues"" second, which is not correct.

However, this is not what is referred to as the “Misprint” version. The “Misprint” format only applies to those issues where the Side 2 track listing is incorrect on the label and the sleeve as here Miles Davis - Kind Of Blue
It is true that this issue does have the Side 2 track listing error on the sleeve (or 'back cover' as described above) but this was still present on releases as late as 1977, e.g. PC 8163 Miles Davis - Kind Of Blue The key point is the misprint on the label.

Deep groove mono 6-eye labels.

Recorded March 2 and April 22 of 1959.",Jazz,1959,Modal,"Rated 4.71 of 331 votes (2509 have, 4581 want)",Very Good Plus (VG+),Sleeve: Very Good Plus (VG+),100.0%,nan,nan,$400.00
Mary Lou Williams – Mary Lou Williams And Orchestra,"Stinson Records – SLP #24, Stinson Records – SLP 24",US,"Vinyl, LP, Album, Mono, 10""","First catalogue number on sleeve, second on center labels

Black vinyl edition

Title on front cover and spine is ""Mary Lou Williams."" Title on back cover is ""Mary Lou Williams and Orchestra."" Title on label is ""Mary Lou Williams Jazz Concert.""

Front cover credits all personnel on this entry. Label credits only a subset.

Red 'rooster' center labels",Jazz,1950,"Swing, Bop","No Rating Yet (7 have, 33 want)",Very Good Plus (VG+),Sleeve: Very Good Plus (VG+),100.0%,nan,nan,$422.37
Mal Waldron – Spanish Bitch,Globe (9) – SMJX-10113,Japan,"Vinyl, LP, Album","Recorded in Ludwigsburg, West Germany, September 18, 1970.

Recorded by ECM, but only released in Japan on Globe label. This recording was never intended to be released on ECM Records.
Comes in a gatefold cover with obi strip, and insert.",Jazz,1970,"Modal, Post Bop","Rated 4.54 of 26 votes (91 have, 480 want)",Near Mint (NM or M-),Sleeve: Near Mint (NM or M-),99.9%,Tonstudio Bauer,nan,$400.00
Kenny Clarke - Francy Boland And Company* – The Golden 8,Blue Note – BLP 4092,US,"Vinyl, LP, Mono","Recorded in Koln, West Germany, on May 18 & 19, 1961.",Jazz,1961,,"Rated 4.12 of 17 votes (71 have, 165 want)",Near Mint (NM or M-),Sleeve: Very Good Plus (VG+),99.6%,nan,nan,$399.99
Herbie Hancock – Takin' Off,Blue Note – BLP 4109,US,"Vinyl, LP, Album, Mono","Recorded on May 28, 1962.

33 1/3 Microgroove.
Label is New York USA,""ear"" and Van Gelder stamped in dead wax.",Jazz,1962,Bop,"Rated 4.43 of 58 votes (308 have, 926 want)",Very Good Plus (VG+),Sleeve: Good Plus (G+),98.0%,"Van Gelder Studio, Englewood Cliffs, New Jersey",Plastylite,$399.99
Nick Ayoub Quintet – The Montreal Scene,RCA Victor – PC-1042,Canada,"Vinyl, LP, Album, Mono","Title appears as ""The Jazz Scene: Montreal"" on labels
Dynagroove",Jazz,1964,"Hard Bop, Cool Jazz","Rated 4.25 of 4 votes (44 have, 156 want)",Near Mint (NM or M-),Sleeve: Near Mint (NM or M-),100.0%,nan,nan,$400.00
Rogério Duprat Com A Orquestra Fantasia – Distração,"Penthon – PP-LP-D-100, Penthon – PP-LP-D100",Brazil,"Vinyl, LP, Album, Mono",nan,"Jazz, Rock, Latin, Folk, World, & Country",1962,"Bossa Nova, Samba, Latin Jazz, Easy Listening, Rock & Roll, Twist, Bolero, Beguine, Mambo, Tango","Rated 4.00 of 5 votes (10 have, 84 want)",Very Good Plus (VG+),Sleeve: Very Good (VG),100.0%,nan,nan,$400.00
